C , 0 , 0 , 0 , 0 : NONE
C , 0 , 0 , 0 , 1 : RIGHT
C , 0 , 0 , 0 , 2 : RIGHT
C , 0 , 0 , 0 , 3 : RIGHT
C , 0 , 0 , 0 , 4 : RIGHT
C , 0 , 0 , 1 , 0 : NONE
C , 0 , 0 , 1 , 1 : RIGHT
C , 0 , 0 , 1 , 2 : UP
C , 0 , 0 , 1 , 3 : RIGHT
C , 0 , 0 , 1 , 4 : RIGHT
C , 0 , 1 , 0 , 0 : NONE
C , 0 , 1 , 0 , 1 : RIGHT
C , 0 , 1 , 0 , 2 : RIGHT
C , 0 , 1 , 0 , 3 : RIGHT
C , 0 , 1 , 0 , 4 : RIGHT
C , 0 , 1 , 1 , 0 : NONE
C , 0 , 1 , 1 , 1 : SHOOT
C , 0 , 1 , 1 , 2 : UP
C , 0 , 1 , 1 , 3 : UP
C , 0 , 1 , 1 , 4 : RIGHT
C , 0 , 2 , 0 , 0 : NONE
C , 0 , 2 , 0 , 1 : RIGHT
C , 0 , 2 , 0 , 2 : RIGHT
C , 0 , 2 , 0 , 3 : RIGHT
C , 0 , 2 , 0 , 4 : RIGHT
C , 0 , 2 , 1 , 0 : NONE
C , 0 , 2 , 1 , 1 : SHOOT
C , 0 , 2 , 1 , 2 : UP
C , 0 , 2 , 1 , 3 : UP
C , 0 , 2 , 1 , 4 : UP
C , 0 , 3 , 0 , 0 : NONE
C , 0 , 3 , 0 , 1 : RIGHT
C , 0 , 3 , 0 , 2 : RIGHT
C , 0 , 3 , 0 , 3 : RIGHT
C , 0 , 3 , 0 , 4 : RIGHT
C , 0 , 3 , 1 , 0 : NONE
C , 0 , 3 , 1 , 1 : SHOOT
C , 0 , 3 , 1 , 2 : UP
C , 0 , 3 , 1 , 3 : UP
C , 0 , 3 , 1 , 4 : UP
C , 1 , 0 , 0 , 0 : NONE
C , 1 , 0 , 0 , 1 : UP
C , 1 , 0 , 0 , 2 : RIGHT
C , 1 , 0 , 0 , 3 : RIGHT
C , 1 , 0 , 0 , 4 : RIGHT
C , 1 , 0 , 1 , 0 : NONE
C , 1 , 0 , 1 , 1 : UP
C , 1 , 0 , 1 , 2 : UP
C , 1 , 0 , 1 , 3 : UP
C , 1 , 0 , 1 , 4 : RIGHT
C , 1 , 1 , 0 , 0 : NONE
C , 1 , 1 , 0 , 1 : RIGHT
C , 1 , 1 , 0 , 2 : UP
C , 1 , 1 , 0 , 3 : RIGHT
C , 1 , 1 , 0 , 4 : RIGHT
C , 1 , 1 , 1 , 0 : NONE
C , 1 , 1 , 1 , 1 : SHOOT
C , 1 , 1 , 1 , 2 : UP
C , 1 , 1 , 1 , 3 : UP
C , 1 , 1 , 1 , 4 : UP
C , 1 , 2 , 0 , 0 : NONE
C , 1 , 2 , 0 , 1 : RIGHT
C , 1 , 2 , 0 , 2 : RIGHT
C , 1 , 2 , 0 , 3 : RIGHT
C , 1 , 2 , 0 , 4 : RIGHT
C , 1 , 2 , 1 , 0 : NONE
C , 1 , 2 , 1 , 1 : SHOOT
C , 1 , 2 , 1 , 2 : UP
C , 1 , 2 , 1 , 3 : UP
C , 1 , 2 , 1 , 4 : UP
C , 1 , 3 , 0 , 0 : NONE
C , 1 , 3 , 0 , 1 : RIGHT
C , 1 , 3 , 0 , 2 : RIGHT
C , 1 , 3 , 0 , 3 : RIGHT
C , 1 , 3 , 0 , 4 : RIGHT
C , 1 , 3 , 1 , 0 : NONE
C , 1 , 3 , 1 , 1 : SHOOT
C , 1 , 3 , 1 , 2 : UP
C , 1 , 3 , 1 , 3 : UP
C , 1 , 3 , 1 , 4 : UP
C , 2 , 0 , 0 , 0 : NONE
C , 2 , 0 , 0 , 1 : UP
C , 2 , 0 , 0 , 2 : RIGHT
C , 2 , 0 , 0 , 3 : UP
C , 2 , 0 , 0 , 4 : RIGHT
C , 2 , 0 , 1 , 0 : NONE
